500 1 
418 0 4
419 0 3
420 0 1
421 0 1
422 0 1
423 0 4
424 0 4
425 0 4
426 0 1
427 0 4
428 0 3
429 0 1
430 0 0
431 0 3
432 0 3
433 0 1
434 0 2
435 0 0
436 0 4
437 0 2
438 0 2
439 0 3
440 0 0
441 0 1
442 0 3
443 0 4
444 0 1
445 0 0
446 0 1
447 0 0
448 0 3
449 0 1
450 0 4
451 0 4
452 0 2
453 0 0
454 0 4
455 0 2
456 0 4
457 0 0
458 0 2
459 0 2
460 0 2
461 0 2
462 0 1
463 0 0
464 0 3
465 0 3
466 0 1
467 0 2
468 0 0
469 0 3
470 0 1
471 0 0
472 0 0
473 0 0
474 0 4
475 0 2
476 0 0
477 0 1
478 0 3
479 0 4
480 0 3
481 0 2
482 0 3
483 0 0
484 0 2
485 0 2
486 0 3
487 0 2
488 0 2
489 0 0
490 0 0
491 0 4
492 0 3
493 0 1
494 0 0
495 0 1
496 0 4
497 0 1
498 0 4
499 0 4
